Date,Open,High,Low,Close,Adj Close,Volume
2010-08-13,4.050000,4.350000,3.600000,3.980000,3.980000,277700
2010-08-16,3.990000,3.990000,3.760000,3.800000,3.800000,20100
2010-08-17,4.000000,4.000000,3.850000,3.850000,3.850000,2800
2010-08-18,3.850000,3.950000,3.780000,3.790000,3.790000,30700
2010-08-19,3.760000,3.760000,3.660000,3.720000,3.720000,6700
2010-08-20,3.890000,3.890000,3.320000,3.320000,3.320000,88700
2010-08-23,4.060000,4.060000,3.300000,3.340000,3.340000,8800
2010-08-24,3.440000,3.660000,3.310000,3.440000,3.440000,9800
2010-08-25,3.600000,3.600000,3.250000,3.300000,3.300000,24300
2010-08-26,3.600000,3.600000,3.300000,3.310000,3.310000,2100
2010-08-27,3.270000,3.500000,3.270000,3.460000,3.460000,17700
2010-08-30,3.480000,3.490000,3.350000,3.350000,3.350000,7900
2010-08-31,3.300000,3.790000,3.300000,3.640000,3.640000,4600
2010-09-01,3.640000,3.640000,3.640000,3.640000,3.640000,0
2010-09-02,3.400000,3.670000,3.250000,3.500000,3.500000,17200
2010-09-03,3.560000,3.780000,3.510000,3.510000,3.510000,15000
2010-09-07,3.550000,3.720000,3.490000,3.500000,3.500000,18300
2010-09-08,3.460000,3.800000,3.460000,3.660000,3.660000,2700
2010-09-09,3.780000,3.800000,3.600000,3.600000,3.600000,16900
2010-09-10,3.550000,3.840000,3.550000,3.550000,3.550000,6600
2010-09-13,3.500000,3.600000,3.500000,3.590000,3.590000,11900
2010-09-14,3.500000,3.630000,3.450000,3.630000,3.630000,14200
2010-09-15,3.780000,3.790000,3.650000,3.650000,3.650000,4000
2010-09-16,3.660000,3.660000,3.660000,3.660000,3.660000,1300
2010-09-17,3.500000,3.650000,3.500000,3.650000,3.650000,6000
2010-09-20,3.550000,3.790000,3.550000,3.670000,3.670000,2100
2010-09-21,3.800000,3.800000,3.500000,3.520000,3.520000,7200
2010-09-22,3.780000,3.780000,3.400000,3.460000,3.460000,3500
2010-09-23,3.600000,3.600000,3.600000,3.600000,3.600000,400
2010-09-24,3.600000,3.600000,3.600000,3.600000,3.600000,100
2010-09-27,3.550000,3.780000,3.300000,3.540000,3.540000,12200
2010-09-28,3.470000,3.470000,3.450000,3.450000,3.450000,300
2010-09-29,3.500000,3.500000,3.500000,3.500000,3.500000,8400
2010-09-30,3.490000,3.710000,3.330000,3.710000,3.710000,2700
2010-10-01,3.710000,3.710000,3.710000,3.710000,3.710000,0
