Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,7.000000,10.000000,7.000000,8.300000,8.300000,55700
2018-06-04,7.550000,10.500000,7.170000,8.600000,8.600000,41500
2018-06-05,8.270000,8.600000,7.060000,7.610000,7.610000,34100
2018-06-06,7.570000,8.240000,6.648000,7.550000,7.550000,59800
2018-06-07,7.600000,7.870000,7.010000,7.630000,7.630000,21100
2018-06-08,7.000000,7.580000,6.980000,7.430000,7.430000,8600
2018-06-11,7.400000,7.590000,7.100000,7.590000,7.590000,9300
2018-06-12,7.590000,8.250000,7.110000,8.250000,8.250000,19700
2018-06-13,7.980000,8.380000,7.651000,8.000000,8.000000,23100
2018-06-14,8.006000,8.788000,7.810000,8.601000,8.601000,28900
2018-06-15,8.990000,9.464000,8.160000,8.160000,8.160000,18100
2018-06-18,8.600000,8.600000,7.854000,8.010000,8.010000,4300
2018-06-19,8.250000,8.300000,7.975000,8.298000,8.298000,9200
2018-06-20,8.240000,9.750000,8.000000,8.350000,8.350000,46300
2018-06-21,8.210000,8.770000,8.040000,8.170000,8.170000,5400
2018-06-22,8.590000,10.490000,8.250000,9.305000,9.305000,45500
2018-06-25,8.801000,9.480000,8.080000,8.220000,8.220000,25700
2018-06-26,8.300000,9.000000,7.800000,7.950000,7.950000,27000
2018-06-27,8.310000,8.500000,8.040000,8.220000,8.220000,7500
2018-06-28,8.175000,8.450000,8.040000,8.200000,8.200000,10100
2018-06-29,8.260000,8.790000,8.260000,8.350000,8.350000,4400
2018-07-02,8.340000,8.470000,8.203000,8.310000,8.310000,3600
2018-07-03,8.450000,8.880000,8.400000,8.470000,8.470000,2300
2018-07-05,8.300000,8.300000,8.250000,8.250000,8.250000,1200
2018-07-06,8.440000,8.440000,8.250000,8.250000,8.250000,1500
2018-07-09,8.250000,8.250000,8.250000,8.250000,8.250000,1400
2018-07-10,8.250000,8.440000,8.050000,8.350000,8.350000,3500
2018-07-11,8.050000,8.080000,7.420000,7.615000,7.615000,24000
2018-07-12,7.850000,8.100000,7.850000,7.975000,7.975000,10200
2018-07-13,7.876000,8.099000,7.876000,7.940000,7.940000,3100
2018-07-16,8.090000,8.090000,7.960000,7.960000,7.960000,3300
2018-07-17,8.014000,8.050000,7.800000,7.890000,7.890000,1000
2018-07-18,7.890000,8.000000,7.650000,7.650000,7.650000,1700
